<TM-1>	Vincenzo Trifoni
<TM-2>	Benito Butali
<TM-3>	Luigi Canzio
<TM-4>	Liceo statale Pietro Siciliani
<TM-5>	Lelio Scoditti
<TM-6>	Sandro Manzo
<TM-7>	Nel condominio di carne
<TM-8>	Antonio Perrucci Ciannamea
<TM-9>	Guido Di Renzo
<TM-10>	Gianni Carluccio
<TM-11>	Ferdinando L. Maggiore
<TM-12>	Biblioteca provinciale dei Cappuccini di Puglia <Bari>
<TM-13>	Ada De Judicibus Lisena
<TM-14>	Costantino Gilodi
<TM-15>	Moshe Zeiri
<TM-16>	Ettore Olivero Pistoletto
<TM-17>	Jean de Wespin
<TM-18>	Nicolas de Wespin
<TM-19>	Claudio Baccarani
<TM-20>	Luigi Melesi
<TM-21>	Comunità Cenacolo
<TM-22>	Della povertà religiosa
<TM-23>	Nina Haab
<TM-24>	Carlo Bonazzi
<TM-25>	Galleria d'arte Il Tempietto <Brindisi>
<TM-26>	Fondazione Biblioteca pubblica arcivescovile Annibale De Leo
<TM-27>	Fondo Borraro Cocchinone
<TM-28>	Salumificio artigianale Maison Bertolin
<TM-29>	Giuseppe Ciocchetti
<TM-30>	Massimiliano Alioto
<TM-31>	Acquedotto Vergine <Roma>
<TM-32>	Collezione Spadafora
<TM-33>	Fernando Capecchi
<TM-34>	De la institutione di tutta la vita de l'homo nato nobile e in citta libera
<TM-35>	Theorie des historischen Materialismus
<TM-36>	Evgenij Leonidovič Kropivnickij
<TM-37>	Giacinto Militello
<TM-38>	Teresa Fazio Lo Sardo
<TM-39>	Cono Federico
<TM-40>	Soprintendenza archeologica belle arti e paesaggio per le province di Verona Rovigo e Vicenza
<TM-41>	Comunità di Monte Verità <Ascona>
<TM-42>	Tutela del patrimonio culturale
<TM-43>	Santuario della Madonna della Quercia di Visora
<TM-44>	Centro di documentazione per la storia dell'assistenza e della sanità fiorentina
<TM-45>	Martin <sorelle>
<TM-46>	Pino Zanin
<TM-47>	L'orologio della passione
<TM-48>	Terenzio Collemodi
<TM-49>	Gli elementi dell'architettura funzionale
<TM-50>	Pietro Capogrosso
<TM-51>	Giuseppe Podda
<TM-52>	Giancarlo Bussi
<TM-53>	Raxis <famiglia>
<TM-54>	Gavino Clemente
<TM-55>	Giovanni Giuseppe Coco
<TM-56>	Lex Ecclesiae fundamentalis
<TM-57>	Juan Vivas de Cañamas
<TM-58>	I tre martiri turritani nella gloria
<TM-59>	Omelie sul Libro di Geremia
<TM-60>	Risurrezione di Roma
<TM-61>	Centro di studi vichiani
<TM-62>	Scuola archeologica di Pompei
<TM-63>	La sinodalità nella vita e nella missione
<TM-64>	Cesare Bindi
<TM-65>	Teatro Paravento <compagnia teatrale>
<TM-66>	Massimo Latte
<TM-67>	Giambattista Creati
<TM-68>	Torrefazione Caffè Bontadi
<TM-69>	Cesare Siviglia
<TM-70>	Claudio Cargiolli
<TM-71>	Lucyna Gebert
<TM-72>	Istituto per i figli del popolo di Napoli
<TM-73>	Gioventù femminile di Azione cattolica
<TM-74>	Greta Penacca
<TM-75>	Carlo Furlan
<TM-76>	Clementina Fumarola
<TM-77>	Ermanno Bocchini
<TM-78>	Alberto Massera
<TM-79>	Carlo Desii
<TM-80>	Bartolomeo da Trasacco
<TM-81>	Giovanni Del Vecchio
<TM-82>	Luisa Bellotto Sandini
<TM-83>	Alessandro Bellan
<TM-84>	Disegni spagnoli
<TM-85>	François Ambroise
<TM-86>	Les liaisons dangereuses
<TM-87>	Ferdinando Moggi
<TM-88>	La Pacchianella <gruppo folcloristico>
<TM-89>	Cooperativa tra produttori agricoli <Matino>
<TM-90>	Aldo Camporota
<TM-91>	Achille Sana
<TM-92>	Ugalberto De Angelis
<TM-93>	Sirio Salimbeni
<TM-94>	Dipartimento di architettura
<TM-95>	Monastero di Santa Verdiana <Firenze>
<TM-96>	Collezione Monosi Resta
<TM-97>	Angela Marcantonio
<TM-98>	Luciano Zarotti
<TM-99>	Madonne
<TM-100>	Grazia Tomberli
<TM-101>	Ritratto di Eleonora Baroni
<TM-102>	Sala delle carte geografiche
<TM-103>	Consiglio di Stato e dei memoriali
<TM-104>	Dimri i vetmisë së madhe
<TM-105>	L'ecole sur mesure
<TM-106>	Gianmaria Buccellati
<TM-107>	Cementificio Italcementi <Muros>
<TM-108>	Nisa Partica
<TM-109>	Scuola elementare Francesco Crispi <Trento>
<TM-110>	Harold Henri Joachim
<TM-111>	Bernardo Cattarinussi
<TM-112>	Chiaia & Napolitano <studio di architettura>
<TM-113>	Josephine Zāyāl
<TM-114>	Caterina Frigerio
<TM-115>	Centro Evangelii Gaudium
<TM-116>	Cristo crocifisso tra i santi Niccolò e Francesco
<TM-117>	Le Pìstole d'Omero
<TM-118>	Michele Balacco
<TM-119>	Murgia Timone
<TM-120>	Codice di Gortina
<TM-121>	De l'Eglise et de sa divine constitution
<TM-122>	La historia del mondo nuovo
<TM-123>	Viaggio terrestre e celeste di Simone Martini
<TM-124>	Sergio Sciarelli
<TM-125>	Boris Isaakovič Jarcho
<TM-126>	Collezione Ingrao
<TM-127>	Triperuno
<TM-128>	Chiesa del Santissimo Crocifisso <Isola Sacra ; Fiumicino>
<TM-129>	Antonietta Innocenti
<TM-130>	Tipografia Filiberto Gori <Prato>
<TM-131>	Orchestra Filarmonica di Udine
<TM-132>	Liceo statale Alvise Cornaro <Padova>
<TM-133>	Confraternita del Santissimo Sacramento <Adria>
<TM-134>	Fattoria Le Corti <San Casciano in Val di Pesa>
<TM-135>	Compagnia balestrieri di Volterra
<TM-136>	Ugolino Grifoni
<TM-137>	Francesca Bisutti
<TM-138>	Roberto Devalle
<TM-139>	Fondazione AEM <Milano>
<TM-140>	Tina Belletti
<TM-141>	Psicologia delle menti associate
<TM-142>	Henry Patenson
<TM-143>	Recensio Wissenburgensis
<TM-144>	Riccardo Cesari
<TM-145>	Università di Oppido Lucano
<TM-146>	Osvaldo Notari
