<http://viaf.org/viaf/28580209>	‘Abd al-Razzāq al-Baṣīr
<http://viaf.org/viaf/118686898>	‘Adnān al-Ḫaṭīb
<http://viaf.org/viaf/49243771>	A. A. Barentsen
<http://viaf.org/viaf/100231282>	A. A. Duri
<http://viaf.org/viaf/108651772>	A. A. Long
<http://viaf.org/viaf/90325601>	A. Abate
<http://viaf.org/viaf/65467322>	A. B. Clarke
<http://viaf.org/viaf/71409894>	A. C. Schuytvlot
<http://viaf.org/viaf/315208897>	A. Carlo Altamura
<http://viaf.org/viaf/3857193>	A. Charlene Senape McDermott
<http://viaf.org/viaf/34535296>	A. David Buckingham
<http://viaf.org/viaf/108194660>	A. Doak Barnett
<http://viaf.org/viaf/101971613>	A. E. van Vogt
<http://viaf.org/viaf/24036>	A. G. Macdonell
<http://viaf.org/viaf/100226617>	A. H. de Oliveira Marques
<http://viaf.org/viaf/47831763>	A. Hyatt Mayor
<http://viaf.org/viaf/92511547>	A. I. Sabra
<http://viaf.org/viaf/31802570>	A. Igoni Barrett
<http://viaf.org/viaf/29726795>	A. J. Cronin
<http://viaf.org/viaf/9859788>	A. J. P. Taylor
<http://viaf.org/viaf/76411429>	A. Kimball Romney
<http://viaf.org/viaf/163411287>	A. L. Udovitch
<http://viaf.org/viaf/115349203>	A. Leon Higginbotham, Jr.
<http://viaf.org/viaf/67810750>	A. Lerumo
<http://viaf.org/viaf/39390274>	A. M. Klein
<http://viaf.org/viaf/85291586>	A. Mitchell Polinsky
<http://viaf.org/viaf/92881818>	A. N. S. Lane
<http://viaf.org/viaf/188145857867423020068>	A. R. Myers
<http://viaf.org/viaf/84663>	A. Rus Hoelzel
<http://viaf.org/viaf/7435812>	A. Scott Berg
<http://viaf.org/viaf/138182>	A. Teresa Hankey
<http://viaf.org/viaf/34489127>	A. Walton Litz
<http://viaf.org/viaf/76407667>	A.C. Grayling
<http://viaf.org/viaf/22146574864938150151>	A.P. Juliano
<http://viaf.org/viaf/61701892>	A.P. Juliano
<http://viaf.org/viaf/91686245>	Aale Tynni
<http://viaf.org/viaf/19767839>	Aaron Beck
<http://viaf.org/viaf/42640222>	Aaron Bernstein
<http://viaf.org/viaf/51874819>	Aaron Copland
<http://viaf.org/viaf/100305983>	Aaron David Gordon
<http://viaf.org/viaf/27069553>	Aaron Nimzowitsch
<http://viaf.org/viaf/267330927>	Abaz Dojaka
<http://viaf.org/viaf/99342932>	Abba Eban
<http://viaf.org/viaf/114753296>	Abbas Kiarostami
<http://viaf.org/viaf/137282486>	abbazia di Farfa
<http://viaf.org/viaf/154518343>	abbazia di Melk
<http://viaf.org/viaf/133865391>	abbazia di Montecassino
<http://viaf.org/viaf/316732438>	abbazia di Nonantola
<http://viaf.org/viaf/150130438>	abbazia di Praglia
<http://viaf.org/viaf/32123363>	abbé Maynard
<http://viaf.org/viaf/114404636>	Abbé Pierre
<http://viaf.org/viaf/84971533>	Abbey Lincoln
<http://viaf.org/viaf/79408884>	Abbie Hoffman
<http://viaf.org/viaf/88639477>	Abbondio Maria Anzini
<http://viaf.org/viaf/10285567>	Abbott Payson Usher
<http://viaf.org/viaf/135398480>	ABC Records
<http://viaf.org/viaf/30893303>	Abd al-Qaddus al-Ansari
<http://viaf.org/viaf/89743196>	Abd Allāh ibn al-Muqaffaʿ
<http://viaf.org/viaf/88296844>	Abd Allah II di Giordania
<http://viaf.org/viaf/53117439>	Abdel Rahman Shalgham
<http://viaf.org/viaf/61547689>	Abdelfattah Kilito
<http://viaf.org/viaf/39489194>	Abdelhadi Boutaleb
<http://viaf.org/viaf/69258994>	Abdelkader Salza
<http://viaf.org/viaf/118464479>	Abdellah Guennoun
<http://viaf.org/viaf/61541661>	Abdelmajid Benjelloun
<http://viaf.org/viaf/71397401>	Abdelmalek Sayad
<http://viaf.org/viaf/56743720>	Abdelwahid al-Marrakushi
<http://viaf.org/viaf/24848119>	Abdennour Bidar
<http://viaf.org/viaf/51902507>	Abderrahman Beggar
<http://viaf.org/viaf/67362530>	Abdias Widmarius
<http://viaf.org/viaf/5985460>	Abdisho bar Berika
<http://viaf.org/viaf/305489472>	Abdisu
<http://viaf.org/viaf/38587678>	Abdon Alinovi
<http://viaf.org/viaf/65551576>	Abduhamid Juraev
<http://viaf.org/viaf/8628934>	Abdul Aziz Said
<http://viaf.org/viaf/96960079>	Abdul Rahman Majeed al-Rubaie
<http://viaf.org/viaf/10715603>	Abdul Sattar Edhi
<http://viaf.org/viaf/17211261>	Abdülhak Şinasi Hisar
<http://viaf.org/viaf/67821804>	Abdullah Hussain
<http://viaf.org/viaf/91056650>	Abdullah Konushevci
<http://viaf.org/viaf/72750911>	Abdullah Nadim
<http://viaf.org/viaf/18351835>	Abdullah Yusuf Ali
<http://viaf.org/viaf/35254696>	Abdülmecid I
<http://viaf.org/viaf/69037521>	Abdulrazak Gurnah
<http://viaf.org/viaf/27596310>	Abdus Salam
<http://viaf.org/viaf/226740910>	Abe Vigoda
<http://viaf.org/viaf/66494130>	Abel Aganbegyan
<http://viaf.org/viaf/24616504>	Abel Bonnard
<http://viaf.org/viaf/27215209>	Abel Bouchard
<http://viaf.org/viaf/29885006>	Abel Foullon
<http://viaf.org/viaf/64034368>	Abel Gance
<http://viaf.org/viaf/61579260>	Abel Herzberg
<http://viaf.org/viaf/19759806>	Abel L'Angelier
<http://viaf.org/viaf/49232712>	Abel-François Villemain
<http://viaf.org/viaf/90230980>	Abelardo Albisi
<http://viaf.org/viaf/84194925>	Abelardo Castillo
<http://viaf.org/viaf/79068149>	Abelardo Lobato
<http://viaf.org/viaf/19697605>	Abele Calufetti
