<http://purl.org/bncf/tid/1576>	000 Informatica, informazione e opere generali (Poco attendibile)
<http://purl.org/bncf/tid/762>	100 Filosofia e Psicologia (Attendibile)
<http://purl.org/bncf/tid/7544>	200 Religione (Attendibile)
<http://purl.org/bncf/tid/4834>	300 Scienze sociali (Molto attendibile)
<http://purl.org/bncf/tid/5032>	400 Linguaggio (Poco attendibile)
<http://purl.org/bncf/tid/1910>	500 Scienza (Poco attendibile)
<http://purl.org/bncf/tid/1979>	600 Tecnologia (Attendibile)
<http://purl.org/bncf/tid/2032>	700 Arti e attività ricreative (Attendibile)
<http://purl.org/bncf/tid/14>	800 Letteratura (Attendibile)
<http://purl.org/bncf/tid/1995>	900 Storia e Geografia (Attendibile)
