<https://www.wikidata.org/wiki/Q1001>	Mohandas Karamchand Gandhi
<https://www.wikidata.org/wiki/Q100149429>	Giuseppe Pedota
<https://www.wikidata.org/wiki/Q100234048>	Stefania Lucchetta
<https://www.wikidata.org/wiki/Q100249673>	Palazzo dell'Acquedotto pugliese <Bari>
<https://www.wikidata.org/wiki/Q100288560>	Mario Davico
<https://www.wikidata.org/wiki/Q100907576>	Vent'anni
<https://www.wikidata.org/wiki/Q1010085>	Chiesa del Gesú Vecchio <Napoli>
<https://www.wikidata.org/wiki/Q1010090>	Giorgio Simonelli
<https://www.wikidata.org/wiki/Q101016391>	Jacorossi <famiglia>
<https://www.wikidata.org/wiki/Q101028>	Dalmine <s.p.a.>
<https://www.wikidata.org/wiki/Q101036779>	Cattelani <famiglia>
<https://www.wikidata.org/wiki/Q101081>	Provenza
<https://www.wikidata.org/wiki/Q101244546>	Giorgio Castelfranco
<https://www.wikidata.org/wiki/Q10133>	Gaio Svetonio Tranquillo
<https://www.wikidata.org/wiki/Q101525469>	Palazzo Maggi <Cadignano ; Verolanuova>
<https://www.wikidata.org/wiki/Q101525469>	Palazzo Maggi <Corzano>
<https://www.wikidata.org/wiki/Q102527>	Robert Falcon Scott
<https://www.wikidata.org/wiki/Q1026>	Polacchi
<https://www.wikidata.org/wiki/Q10285>	Colosseo <Roma>
<https://www.wikidata.org/wiki/Q102852946>	Cattura di Cristo
<https://www.wikidata.org/wiki/Q10288>	Partenone <Atene>
<https://www.wikidata.org/wiki/Q1029340>	Camillo Boccaccino
<https://www.wikidata.org/wiki/Q1029715>	Adorazione dei pastori
<https://www.wikidata.org/wiki/Q1030158>	Complesso di Santa Maria del Popolo degli Incurabili <Napoli>
<https://www.wikidata.org/wiki/Q103111913>	Bruno Federici
<https://www.wikidata.org/wiki/Q1031803>	Università di Tor Vergata <Roma>
<https://www.wikidata.org/wiki/Q103287>	Vecchiano
<https://www.wikidata.org/wiki/Q1033066>	Daraya
<https://www.wikidata.org/wiki/Q103495>	Guerra mondiale
<https://www.wikidata.org/wiki/Q103606>	Aurora <penna stilografica>
<https://www.wikidata.org/wiki/Q10361>	Vinovo <Manifattura>
<https://www.wikidata.org/wiki/Q1036440>	Corte africana dei diritti dell'uomo e dei popoli
<https://www.wikidata.org/wiki/Q103974351>	Francesco Boniforti
<https://www.wikidata.org/wiki/Q103979912>	Giulio Pallavicino
<https://www.wikidata.org/wiki/Q104028>	Giudea
<https://www.wikidata.org/wiki/Q104114331>	Fondazione scientifica Querini Stampalia
<https://www.wikidata.org/wiki/Q104213367>	Francesco Rossolillo
<https://www.wikidata.org/wiki/Q104221208>	Klara Beck
<https://www.wikidata.org/wiki/Q104242>	Wilhelm Schapp
<https://www.wikidata.org/wiki/Q1043>	Karl af Linné
<https://www.wikidata.org/wiki/Q1043104>	Charlie Hebdo
<https://www.wikidata.org/wiki/Q104439657>	Ermanno Loevinson
<https://www.wikidata.org/wiki/Q104445070>	Jérôme de La Lande
<https://www.wikidata.org/wiki/Q104467275>	Ospedale psichiatrico Santa Maria Maddalena <Aversa>
<https://www.wikidata.org/wiki/Q104601207>	Palermo Pop <festival musicale>
<https://www.wikidata.org/wiki/Q1047594>	Piazza del Plebiscito <Napoli>
<https://www.wikidata.org/wiki/Q104816486>	Luigi Fumagalli
<https://www.wikidata.org/wiki/Q1048204>	Cassa depositi e prestiti
<https://www.wikidata.org/wiki/Q104825701>	The hobbit and philosophy
<https://www.wikidata.org/wiki/Q104836770>	Massimo Grilli
<https://www.wikidata.org/wiki/Q1048606>	Legione straniera
<https://www.wikidata.org/wiki/Q1048852>	Castello di Donnafugata <Ragusa>
<https://www.wikidata.org/wiki/Q10490>	Ayrton Senna
<https://www.wikidata.org/wiki/Q1049990>	Castruccio Castracani
<https://www.wikidata.org/wiki/Q105002632>	Rapporto
<https://www.wikidata.org/wiki/Q1050061>	La Rinascente <Milano>
<https://www.wikidata.org/wiki/Q105077224>	Declamationes minores
<https://www.wikidata.org/wiki/Q105102604>	Tiziana Cantone
<https://www.wikidata.org/wiki/Q1051103>	Catholic worker movement
<https://www.wikidata.org/wiki/Q1051820>	Certosa di San Lorenzo <Padula>
<https://www.wikidata.org/wiki/Q1052167>	Palazzo da Mosto <Reggio Emilia>
<https://www.wikidata.org/wiki/Q1053313>	Gerusalemme liberata
<https://www.wikidata.org/wiki/Q1053707>	Collegiata di Sant'Orso <Aosta>
<https://www.wikidata.org/wiki/Q105407200>	Anna Maria Partini
<https://www.wikidata.org/wiki/Q1054168>	Consiglio superiore della magistratura
<https://www.wikidata.org/wiki/Q1054324>	Politecnico di Bari
<https://www.wikidata.org/wiki/Q1055449>	Matteo Salvini
<https://www.wikidata.org/wiki/Q1055840>	Codice di procedura civile
<https://www.wikidata.org/wiki/Q1057344>	Edilo di Samo
<https://www.wikidata.org/wiki/Q105737314>	Maria Lazzari
<https://www.wikidata.org/wiki/Q1057716>	Marlene Kuntz <gruppo musicale>
<https://www.wikidata.org/wiki/Q1058475>	Palazzo Spada <Roma>
<https://www.wikidata.org/wiki/Q105946329>	Palazzo Botta <Pavia>
<https://www.wikidata.org/wiki/Q10594798>	Museo nazionale <trasmissione radiofonica>
<https://www.wikidata.org/wiki/Q106029910>	Sìneo Gemignani
<https://www.wikidata.org/wiki/Q106048618>	Chiesa di San Martino <San Martino in Rio>
<https://www.wikidata.org/wiki/Q106073169>	Abbazia di Santa Lucia di Roffeno
<https://www.wikidata.org/wiki/Q106073358>	Palazzo Della Volpe <Imola>
<https://www.wikidata.org/wiki/Q106074681>	Palazzo Guiccioli <Ravenna>
<https://www.wikidata.org/wiki/Q106074911>	Monte di pietà di Ravenna
<https://www.wikidata.org/wiki/Q106075022>	Fortezza di Castrocaro
<https://www.wikidata.org/wiki/Q106128771>	Giuseppe Pannacci
<https://www.wikidata.org/wiki/Q106143>	Samuel Pepys
<https://www.wikidata.org/wiki/Q1061826>	Movimento federalista europeo
<https://www.wikidata.org/wiki/Q1061931>	Ginori <Manifattura>
<https://www.wikidata.org/wiki/Q106199>	Commentarii de bello Gallico
<https://www.wikidata.org/wiki/Q106199>	De bello Gallico
<https://www.wikidata.org/wiki/Q106249522>	De agricultura
<https://www.wikidata.org/wiki/Q106358991>	Declamationes maiores
<https://www.wikidata.org/wiki/Q106485824>	Giorgio di Cipro <patriarca di Costantinopoli>
<https://www.wikidata.org/wiki/Q106654581>	Maria Silvana Celentano
<https://www.wikidata.org/wiki/Q106673986>	Arrigo Armieri
<https://www.wikidata.org/wiki/Q106674739>	Macchioni Jodi
<https://www.wikidata.org/wiki/Q106717472>	Ezio Cesarini
<https://www.wikidata.org/wiki/Q1067943>	Royal institute of British Architects
<https://www.wikidata.org/wiki/Q106810281>	Ruggero Rovan
<https://www.wikidata.org/wiki/Q1068646>	Yoga-sūtra
<https://www.wikidata.org/wiki/Q106879950>	Fondazione Cassa di Risparmio di Bologna
<https://www.wikidata.org/wiki/Q106879950>	Fondazione Cassa di risparmio in Bologna
<https://www.wikidata.org/wiki/Q1069030>	International Co-operative Alliance
<https://www.wikidata.org/wiki/Q1069285>	Birgitta <santa>
<https://www.wikidata.org/wiki/Q106956407>	Euridice
<https://www.wikidata.org/wiki/Q106959534>	Aratea
<https://www.wikidata.org/wiki/Q1069706>	Convenzione sui diritti delle persone con disabilità
<https://www.wikidata.org/wiki/Q107131>	Klaus Hemmerle
<https://www.wikidata.org/wiki/Q1071620>	Chianti
<https://www.wikidata.org/wiki/Q107234063>	Paola Vecchi Galli
<https://www.wikidata.org/wiki/Q107316316>	Wilma Montesi
<https://www.wikidata.org/wiki/Q107327347>	Stanislao Farri
<https://www.wikidata.org/wiki/Q1073495>	Duomo di Cagliari
<https://www.wikidata.org/wiki/Q1074243>	René Kalisky
<https://www.wikidata.org/wiki/Q10749030>	Impresa di Fiume
<https://www.wikidata.org/wiki/Q1074945>	Wadi El-Natrun
<https://www.wikidata.org/wiki/Q107497340>	Francesca Rizzo Nervo
<https://www.wikidata.org/wiki/Q107560392>	La tentation de saint Antoine
<https://www.wikidata.org/wiki/Q1076619>	Armée
<https://www.wikidata.org/wiki/Q1077639>	Università IULM <Milano>
<https://www.wikidata.org/wiki/Q1078864>	Chiesa di San Rocco <Lisbona>
<https://www.wikidata.org/wiki/Q1081523>	Lee Radziwill
<https://www.wikidata.org/wiki/Q1081866>	Carta del Carnaro
<https://www.wikidata.org/wiki/Q108294748>	Leopold Franzens Universität Innsbruck
<https://www.wikidata.org/wiki/Q1083096>	Anton Domenico Gabbiani
<https://www.wikidata.org/wiki/Q108377667>	Archivio Histórico de Protocolos de Madrid
<https://www.wikidata.org/wiki/Q1084774>	Villa Ambrogiana <Montelupo Fiorentino>
<https://www.wikidata.org/wiki/Q1084988>	Ignacio Matte Blanco
<https://www.wikidata.org/wiki/Q10855544>	Galleria dell'Accademia di Firenze
<https://www.wikidata.org/wiki/Q10859>	Guerra civile spagnola
<https://www.wikidata.org/wiki/Q108618207>	Muhammad Amin al-Kurdi
<https://www.wikidata.org/wiki/Q108621823>	Museo delle scienze <Trento>
<https://www.wikidata.org/wiki/Q1086744>	Giuseppe Bazzani
<https://www.wikidata.org/wiki/Q108779586>	Clelia Mora
<https://www.wikidata.org/wiki/Q108818>	Alfred Quellmalz
<https://www.wikidata.org/wiki/Q108893590>	Le imagini de i dei de gli antichi
<https://www.wikidata.org/wiki/Q1091103>	Catharine Trotter
<https://www.wikidata.org/wiki/Q109179>	Rotary international
<https://www.wikidata.org/wiki/Q1092292>	Scuola di Barbiana
